date,rank,song,artist
1/1/2023,1,All I Want For Christmas Is You,Mariah Carey
1/1/2023,2,Rockin' Around The Christmas Tree,Brenda Lee
1/1/2023,3,Jingle Bell Rock,Bobby Helms
1/1/2023,4,Last Christmas,Wham!
1/1/2023,5,A Holly Jolly Christmas,Burl Ives
1/1/2023,6,It's The Most Wonderful Time Of The Year,Andy Williams
1/1/2023,7,Feliz Navidad,Jose Feliciano
1/1/2023,8,Anti-Hero,Taylor Swift
1/1/2023,9,The Christmas Song (Merry Christmas To You),Nat "King" Cole
1/1/2023,10,Unholy,Sam Smith & Kim Petras
1/1/2023,11,Kill Bill,SZA
1/1/2023,12,Santa Tell Me,Ariana Grande
1/1/2023,13,Sleigh Ride,The Ronettes
1/1/2023,14,Underneath The Tree,Kelly Clarkson
1/1/2023,15,Christmas (Baby Please Come Home),Darlene Love
1/1/2023,16,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
1/1/2023,17,Deck The Halls,Nat King Cole
1/1/2023,18,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
1/1/2023,19,I'm Good (Blue),David Guetta & Bebe Rexha
1/1/2023,20,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins
1/1/2023,21,Rich Flex,Drake & 21 Savage
1/1/2023,22,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/1/2023,23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
1/1/2023,24,Blue Christmas,Elvis Presley
1/1/2023,25,It's Beginning To Look A Lot Like Christmas,Michael Buble
1/1/2023,26,Die For You,The Weeknd & Ariana Grande
1/1/2023,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
1/1/2023,28,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
1/1/2023,29,Little Saint Nick,The Beach Boys
1/1/2023,30,Bad Habit,Steve Lacy
1/1/2023,31,As It Was,Harry Styles
1/1/2023,32,Run Rudolph Run,Chuck Berry
1/1/2023,33,Wonderful Christmastime,Paul McCartney
1/1/2023,34,Santa Claus Is Comin' To Town,Jackson 5
1/1/2023,35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
1/1/2023,36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
1/1/2023,37,This Christmas,Donny Hathaway
1/1/2023,38,Cuff It,Beyonce
1/1/2023,39,Under The Influence,Chris Brown
1/1/2023,40,Happy Holiday / The Holiday Season,Andy Williams
1/1/2023,41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
1/1/2023,42,Something In The Orange,Zach Bryan
1/1/2023,43,Please Come Home For Christmas,Eagles
1/1/2023,44,Merry Christmas,Ed Sheeran & Elton John
1/1/2023,45,Made You Look,Meghan Trainor
1/1/2023,46,You Proof,Morgan Wallen
1/1/2023,47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
1/1/2023,48,Have Yourself A Merry Little Christmas,Michael Buble
1/1/2023,49,Golden Hour,JVKE
1/1/2023,50,Christmastime Is Here,Vince Guaraldi Trio
1/1/2023,51,Super Freaky Girl,Nicki Minaj
1/1/2023,52,Shirt,SZA
1/1/2023,53,Just Wanna Rock,Lil Uzi Vert
1/1/2023,54,Tomorrow 2,GloRilla & Cardi B
1/1/2023,55,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
1/1/2023,56,Thank God,Kane Brown With Katelyn Brown
1/1/2023,57,Lift Me Up,Rihanna
1/1/2023,58,Until I Found You,Stephen Sanchez
1/1/2023,59,Nobody Gets Me,SZA
1/1/2023,60,Someday At Christmas,Lizzo
1/1/2023,61,Rock And A Hard Place,Bailey Zimmerman
1/1/2023,62,Gato de Noche,Nengo Flow & Bad Bunny
1/1/2023,63,Victoria's Secret,Jax
1/1/2023,64,Lavender Haze,Taylor Swift
1/1/2023,65,Low,SZA
1/1/2023,66,Son Of A Sinner,Jelly Roll
1/1/2023,67,Blind,SZA
1/1/2023,68,What My World Spins Around,Jordan Davis
1/1/2023,69,Wait In The Truck,HARDY Featuring Lainey Wilson
1/1/2023,70,"Going, Going, Gone",Luke Combs
1/1/2023,71,Heart Like A Truck,Lainey Wilson
1/1/2023,72,Last Christmas,Lauren Spencer Smith
1/1/2023,73,Blue Christmas,Kane Brown
1/1/2023,74,Snooze,SZA
1/1/2023,75,Escapism,RAYE Featuring 070 Shake
1/1/2023,76,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande
1/1/2023,77,Love Language,SZA
1/1/2023,78,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
1/1/2023,79,Calm Down,Rema & Selena Gomez
1/1/2023,80,Whiskey On You,Nate Smith
1/1/2023,81,Seek & Destroy,SZA
1/1/2023,82,Hold Me Closer,Elton John & Britney Spears
1/1/2023,83,Que Vuelvas,Carin Leon X Grupo Frontera
1/1/2023,84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
1/1/2023,85,Spin Bout U,Drake & 21 Savage
1/1/2023,86,Used,SZA Featuring Don Toliver
1/1/2023,87,Romantic Homicide,d4vd
1/1/2023,88,Circo Loco,Drake & 21 Savage
1/1/2023,89,Ghost In The Machine,SZA Featuring Phoebe Bridgers
1/1/2023,90,Down Home,Jimmie Allen
1/1/2023,91,Bebe Dame,Fuerza Regida X Grupo Frontera
1/1/2023,92,Special,SZA
1/1/2023,93,No Se Va,Grupo Frontera
1/1/2023,94,Kid On Christmas,Pentatonix Featuring Meghan Trainor
1/1/2023,95,One Thing At A Time,Morgan Wallen
1/1/2023,96,Pick Me Up,Gabby Barrett
1/1/2023,97,SOS,SZA
1/1/2023,98,Forget Me,Lewis Capaldi
1/1/2023,99,La Jumpa,Arcangel & Bad Bunny
1/1/2023,100,Gone Girl,SZA
1/8/2023,1,Anti-Hero,Taylor Swift
1/8/2023,2,Unholy,Sam Smith & Kim Petras
1/8/2023,3,Kill Bill,SZA
1/8/2023,4,I'm Good (Blue),David Guetta & Bebe Rexha
1/8/2023,5,Rich Flex,Drake & 21 Savage
1/8/2023,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/8/2023,7,As It Was,Harry Styles
1/8/2023,8,Die For You,The Weeknd & Ariana Grande
1/8/2023,9,Bad Habit,Steve Lacy
1/8/2023,10,Cuff It,Beyonce
1/8/2023,11,Something In The Orange,Zach Bryan
1/8/2023,12,Made You Look,Meghan Trainor
1/8/2023,13,You Proof,Morgan Wallen
1/8/2023,14,Under The Influence,Chris Brown
1/8/2023,15,Golden Hour,JVKE
1/8/2023,16,Just Wanna Rock,Lil Uzi Vert
1/8/2023,17,Thank God,Kane Brown With Katelyn Brown
1/8/2023,18,Super Freaky Girl,Nicki Minaj
1/8/2023,19,I Like You (A Happier Song),Post Malone Featuring Doja Cat
1/8/2023,20,Rock And A Hard Place,Bailey Zimmerman
1/8/2023,21,Tomorrow 2,GloRilla & Cardi B
1/8/2023,22,Wasted On You,Morgan Wallen
1/8/2023,23,Shirt,SZA
1/8/2023,24,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
1/8/2023,25,Lift Me Up,Rihanna
1/8/2023,26,About Damn Time,Lizzo
1/8/2023,27,Until I Found You,Stephen Sanchez
1/8/2023,28,Wait For U,Future Featuring Drake & Tems
1/8/2023,29,Sunroof,Nicky Youre & dazy
1/8/2023,30,I Ain't Worried,OneRepublic
1/8/2023,31,"Going, Going, Gone",Luke Combs
1/8/2023,32,Vegas,Doja Cat
1/8/2023,33,Thought You Should Know,Morgan Wallen
1/8/2023,34,The Kind Of Love We Make,Luke Combs
1/8/2023,35,She Had Me At Heads Carolina,Cole Swindell
1/8/2023,36,Son Of A Sinner,Jelly Roll
1/8/2023,37,Lavender Haze,Taylor Swift
1/8/2023,38,Wait In The Truck,HARDY Featuring Lainey Wilson
1/8/2023,39,Heart Like A Truck,Lainey Wilson
1/8/2023,40,Victoria's Secret,Jax
1/8/2023,41,Unstoppable,Sia
1/8/2023,42,Nobody Gets Me,SZA
1/8/2023,43,Escapism,RAYE Featuring 070 Shake
1/8/2023,44,What My World Spins Around,Jordan Davis
1/8/2023,45,Low,SZA
1/8/2023,46,Calm Down,Rema & Selena Gomez
1/8/2023,47,Whiskey On You,Nate Smith
1/8/2023,48,Fall In Love,Bailey Zimmerman
1/8/2023,49,Jimmy Cooks,Drake Featuring 21 Savage
1/8/2023,50,Bebe Dame,Fuerza Regida X Grupo Frontera
1/8/2023,51,Blind,SZA
1/8/2023,52,Hold Me Closer,Elton John & Britney Spears
1/8/2023,53,Snooze,SZA
1/8/2023,54,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
1/8/2023,55,Hotel Lobby (Unc And Phew),Quavo & Takeoff
1/8/2023,56,Love Language,SZA
1/8/2023,57,Que Vuelvas,Carin Leon X Grupo Frontera
1/8/2023,58,Tennessee Orange,Megan Moroney
1/8/2023,59,Romantic Homicide,d4vd
1/8/2023,60,Gato de Noche,Nengo Flow & Bad Bunny
1/8/2023,61,Down Home,Jimmie Allen
1/8/2023,62,Spin Bout U,Drake & 21 Savage
1/8/2023,63,Pick Me Up,Gabby Barrett
1/8/2023,64,Circo Loco,Drake & 21 Savage
1/8/2023,65,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
1/8/2023,66,Seek & Destroy,SZA
1/8/2023,67,What He Didn't Do,Carly Pearce
1/8/2023,68,Bloody Mary,Lady Gaga
1/8/2023,69,Handle On You,Parker McCollum
1/8/2023,70,No Se Va,Grupo Frontera
1/8/2023,71,Snap,Rosa Linn
1/8/2023,72,Freestyle,Lil Baby
1/8/2023,73,Half Of Me,Thomas Rhett Featuring Riley Green
1/8/2023,74,Forget Me,Lewis Capaldi
1/8/2023,75,Wild As Her,Corey Kent
1/8/2023,76,Used,SZA Featuring Don Toliver
1/8/2023,77,One Thing At A Time,Morgan Wallen
1/8/2023,78,Billie Eilish.,Armani White
1/8/2023,79,Ghost In The Machine,SZA Featuring Phoebe Bridgers
1/8/2023,80,La Jumpa,Arcangel & Bad Bunny
1/8/2023,81,Bejeweled,Taylor Swift
1/8/2023,82,La Bachata,Manuel Turizo
1/8/2023,83,Special,SZA
1/8/2023,84,Heyy,Lil Baby
1/8/2023,85,Open Arms,SZA Featuring Travis Scott
1/8/2023,86,Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage"
1/8/2023,87,The Color Violet,Tory Lanez
1/8/2023,88,Here With Me,d4vd
1/8/2023,89,California Breeze,Lil Baby
1/8/2023,90,SOS,SZA
1/8/2023,91,Love You Better,Future
1/8/2023,92,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott
1/8/2023,93,Out In The Middle,Zac Brown Band
1/8/2023,94,Gone Girl,SZA
1/8/2023,95,On BS,Drake & 21 Savage
1/8/2023,96,Shut Up My Moms Calling,Hotel Ugly
1/8/2023,97,Midnight Rain,Taylor Swift
1/8/2023,98,Players,Coi Leray
1/8/2023,99,Major Distribution,Drake & 21 Savage
1/8/2023,100,Notice Me,SZA
1/15/2023,1,Anti-Hero,Taylor Swift
1/15/2023,2,Kill Bill,SZA
1/15/2023,3,Unholy,Sam Smith & Kim Petras
1/15/2023,4,I'm Good (Blue),David Guetta & Bebe Rexha
1/15/2023,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/15/2023,6,Die For You,The Weeknd & Ariana Grande
1/15/2023,7,Rich Flex,Drake & 21 Savage
1/15/2023,8,As It Was,Harry Styles
1/15/2023,9,Bad Habit,Steve Lacy
1/15/2023,10,Something In The Orange,Zach Bryan
1/15/2023,11,Golden Hour,JVKE
1/15/2023,12,Under The Influence,Chris Brown
1/15/2023,13,Cuff It,Beyonce
1/15/2023,14,Made You Look,Meghan Trainor
1/15/2023,15,You Proof,Morgan Wallen
1/15/2023,16,Just Wanna Rock,Lil Uzi Vert
1/15/2023,17,Rock And A Hard Place,Bailey Zimmerman
1/15/2023,18,Thank God,Kane Brown With Katelyn Brown
1/15/2023,19,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
1/15/2023,20,Super Freaky Girl,Nicki Minaj
1/15/2023,21,I Like You (A Happier Song),Post Malone Featuring Doja Cat
1/15/2023,22,Shirt,SZA
1/15/2023,23,Until I Found You,Stephen Sanchez
1/15/2023,24,Lift Me Up,Rihanna
1/15/2023,25,Tomorrow 2,GloRilla & Cardi B
1/15/2023,26,Wait For U,Future Featuring Drake & Tems
1/15/2023,27,Thought You Should Know,Morgan Wallen
1/15/2023,28,Escapism,RAYE Featuring 070 Shake
1/15/2023,29,"Going, Going, Gone",Luke Combs
1/15/2023,30,Lavender Haze,Taylor Swift
1/15/2023,31,Bebe Dame,Fuerza Regida X Grupo Frontera
1/15/2023,32,Heart Like A Truck,Lainey Wilson
1/15/2023,33,The Kind Of Love We Make,Luke Combs
1/15/2023,34,Nobody Gets Me,SZA
1/15/2023,35,She Had Me At Heads Carolina,Cole Swindell
1/15/2023,36,Sunroof,Nicky Youre & dazy
1/15/2023,37,Wait In The Truck,HARDY Featuring Lainey Wilson
1/15/2023,38,Calm Down,Rema & Selena Gomez
1/15/2023,39,I Ain't Worried,OneRepublic
1/15/2023,40,What My World Spins Around,Jordan Davis
1/15/2023,41,Vegas,Doja Cat
1/15/2023,42,About Damn Time,Lizzo
1/15/2023,43,Son Of A Sinner,Jelly Roll
1/15/2023,44,Unstoppable,Sia
1/15/2023,45,Victoria's Secret,Jax
1/15/2023,46,Low,SZA
1/15/2023,47,Whiskey On You,Nate Smith
1/15/2023,48,Snooze,SZA
1/15/2023,49,Sure Thing,Miguel
1/15/2023,50,Fall In Love,Bailey Zimmerman
1/15/2023,51,Blind,SZA
1/15/2023,52,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
1/15/2023,53,Que Vuelvas,Carin Leon X Grupo Frontera
1/15/2023,54,Hold Me Closer,Elton John & Britney Spears
1/15/2023,55,Hotel Lobby (Unc And Phew),Quavo & Takeoff
1/15/2023,56,Love Language,SZA
1/15/2023,57,Romantic Homicide,d4vd
1/15/2023,58,Tennessee Orange,Megan Moroney
1/15/2023,59,Spin Bout U,Drake & 21 Savage
1/15/2023,60,Pick Me Up,Gabby Barrett
1/15/2023,61,What He Didn't Do,Carly Pearce
1/15/2023,62,Bloody Mary,Lady Gaga
1/15/2023,63,Half Of Me,Thomas Rhett Featuring Riley Green
1/15/2023,64,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
1/15/2023,65,Forget Me,Lewis Capaldi
1/15/2023,66,Circo Loco,Drake & 21 Savage
1/15/2023,67,Handle On You,Parker McCollum
1/15/2023,68,Freestyle,Lil Baby
1/15/2023,69,No Se Va,Grupo Frontera
1/15/2023,70,The Color Violet,Tory Lanez
1/15/2023,71,Wild As Her,Corey Kent
1/15/2023,72,Seek & Destroy,SZA
1/15/2023,73,Down Home,Jimmie Allen
1/15/2023,74,Snap,Rosa Linn
1/15/2023,75,Gato de Noche,Nengo Flow & Bad Bunny
1/15/2023,76,Shut Up My Moms Calling,Hotel Ugly
1/15/2023,77,Here With Me,d4vd
1/15/2023,78,Players,Coi Leray
1/15/2023,79,La Bachata,Manuel Turizo
1/15/2023,80,Ghost In The Machine,SZA Featuring Phoebe Bridgers
1/15/2023,81,La Jumpa,Arcangel & Bad Bunny
1/15/2023,82,One Thing At A Time,Morgan Wallen
1/15/2023,83,Used,SZA Featuring Don Toliver
1/15/2023,84,Open Arms,SZA Featuring Travis Scott
1/15/2023,85,Special,SZA
1/15/2023,86,Heyy,Lil Baby
1/15/2023,87,Out In The Middle,Zac Brown Band
1/15/2023,88,Love You Better,Future
1/15/2023,89,Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage"
1/15/2023,90,California Breeze,Lil Baby
1/15/2023,91,Bejeweled,Taylor Swift
1/15/2023,92,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott
1/15/2023,93,Black,YoungBoy Never Broke Again
1/15/2023,94,On BS,Drake & 21 Savage
1/15/2023,95,Miss You,Oliver Tree & Robin Schulz
1/15/2023,96,Ditto,NewJeans
1/15/2023,97,That's What Tequila Does,Jason Aldean
1/15/2023,98,Gone Girl,SZA
1/15/2023,99,SOS,SZA
1/15/2023,100,You Didn't,Brett Young
1/22/2023,1,Flowers,Miley Cyrus
1/22/2023,2,Kill Bill,SZA
1/22/2023,3,Anti-Hero,Taylor Swift
1/22/2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/22/2023,5,Unholy,Sam Smith & Kim Petras
1/22/2023,6,I'm Good (Blue),David Guetta & Bebe Rexha
1/22/2023,7,Die For You,The Weeknd & Ariana Grande
1/22/2023,8,Rich Flex,Drake & 21 Savage
1/22/2023,9,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
1/22/2023,10,As It Was,Harry Styles
1/22/2023,11,Golden Hour,JVKE
1/22/2023,12,Bad Habit,Steve Lacy
1/22/2023,13,Something In The Orange,Zach Bryan
1/22/2023,14,Under The Influence,Chris Brown
1/22/2023,15,Made You Look,Meghan Trainor
1/22/2023,16,Just Wanna Rock,Lil Uzi Vert
1/22/2023,17,Cuff It,Beyonce
1/22/2023,18,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
1/22/2023,19,Thank God,Kane Brown With Katelyn Brown
1/22/2023,20,You Proof,Morgan Wallen
1/22/2023,21,Rock And A Hard Place,Bailey Zimmerman
1/22/2023,22,Escapism,RAYE Featuring 070 Shake
1/22/2023,23,Shirt,SZA
1/22/2023,24,I Like You (A Happier Song),Post Malone Featuring Doja Cat
1/22/2023,25,Bebe Dame,Fuerza Regida X Grupo Frontera
1/22/2023,26,"Going, Going, Gone",Luke Combs
1/22/2023,27,Wait For U,Future Featuring Drake & Tems
1/22/2023,28,Until I Found You,Stephen Sanchez
1/22/2023,29,Super Freaky Girl,Nicki Minaj
1/22/2023,30,Tomorrow 2,GloRilla & Cardi B
1/22/2023,31,Thought You Should Know,Morgan Wallen
1/22/2023,32,Snooze,SZA
1/22/2023,33,Heart Like A Truck,Lainey Wilson
1/22/2023,34,Lavender Haze,Taylor Swift
1/22/2023,35,Calm Down,Rema & Selena Gomez
1/22/2023,36,Nobody Gets Me,SZA
1/22/2023,37,Wait In The Truck,HARDY Featuring Lainey Wilson
1/22/2023,38,The Kind Of Love We Make,Luke Combs
1/22/2023,39,Lift Me Up,Rihanna
1/22/2023,40,What My World Spins Around,Jordan Davis
1/22/2023,41,Sunroof,Nicky Youre & dazy
1/22/2023,42,Sure Thing,Miguel
1/22/2023,43,Unstoppable,Sia
1/22/2023,44,She Had Me At Heads Carolina,Cole Swindell
1/22/2023,45,I Ain't Worried,OneRepublic
1/22/2023,46,Low,SZA
1/22/2023,47,Victoria's Secret,Jax
1/22/2023,48,Vegas,Doja Cat
1/22/2023,49,About Damn Time,Lizzo
1/22/2023,50,Que Vuelvas,Carin Leon X Grupo Frontera
1/22/2023,51,Whiskey On You,Nate Smith
1/22/2023,52,Blind,SZA
1/22/2023,53,Tennessee Orange,Megan Moroney
1/22/2023,54,Players,Coi Leray
1/22/2023,55,Pick Me Up,Gabby Barrett
1/22/2023,56,On Wat U On,Moneybagg Yo x GloRilla
1/22/2023,57,Bloody Mary,Lady Gaga
1/22/2023,58,Handle On You,Parker McCollum
1/22/2023,59,Romantic Homicide,d4vd
1/22/2023,60,What He Didn't Do,Carly Pearce
1/22/2023,61,Love Language,SZA
1/22/2023,62,No Se Va,Grupo Frontera
1/22/2023,63,Forget Me,Lewis Capaldi
1/22/2023,64,Spin Bout U,Drake & 21 Savage
1/22/2023,65,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
1/22/2023,66,Here With Me,d4vd
1/22/2023,67,Snap,Rosa Linn
1/22/2023,68,Shut Up My Moms Calling,Hotel Ugly
1/22/2023,69,Freestyle,Lil Baby
1/22/2023,70,Wild As Her,Corey Kent
1/22/2023,71,The Color Violet,Tory Lanez
1/22/2023,72,La Bachata,Manuel Turizo
1/22/2023,73,Half Of Me,Thomas Rhett Featuring Riley Green
1/22/2023,74,Circo Loco,Drake & 21 Savage
1/22/2023,75,Nonsense,Sabrina Carpenter
1/22/2023,76,Vibe,TAEYANG Featuring Jimin
1/22/2023,77,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
1/22/2023,78,La Jumpa,Arcangel & Bad Bunny
1/22/2023,79,Love You Better,Future
1/22/2023,80,Gato de Noche,Nengo Flow & Bad Bunny
1/22/2023,81,Seek & Destroy,SZA
1/22/2023,82,One Thing At A Time,Morgan Wallen
1/22/2023,83,Monotonia,Shakira + Ozuna
1/22/2023,84,Ghost In The Machine,SZA Featuring Phoebe Bridgers
1/22/2023,85,Ditto,NewJeans
1/22/2023,86,Down Home,Jimmie Allen
1/22/2023,87,Heyy,Lil Baby
1/22/2023,88,Out In The Middle,Zac Brown Band
1/22/2023,89,Open Arms,SZA Featuring Travis Scott
1/22/2023,90,Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage"
1/22/2023,91,OMG,NewJeans
1/22/2023,92,That's What Tequila Does,Jason Aldean
1/22/2023,93,Used,SZA Featuring Don Toliver
1/22/2023,94,Human,Cody Johnson
1/22/2023,95,Special,SZA
1/22/2023,96,Miss You,Oliver Tree & Robin Schulz
1/22/2023,97,California Breeze,Lil Baby
1/22/2023,98,Heart To Heart,Mac DeMarco
1/22/2023,99,You Didn't,Brett Young
1/22/2023,100,King Snipe,Gucci Mane & Kodak Black
1/29/2023,1,Flowers,Miley Cyrus
1/29/2023,2,Kill Bill,SZA
1/29/2023,3,Anti-Hero,Taylor Swift
1/29/2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/29/2023,5,Unholy,Sam Smith & Kim Petras
1/29/2023,6,I'm Good (Blue),David Guetta & Bebe Rexha
1/29/2023,7,Die For You,The Weeknd & Ariana Grande
1/29/2023,8,Rich Flex,Drake & 21 Savage
1/29/2023,9,As It Was,Harry Styles
1/29/2023,10,Golden Hour,JVKE
1/29/2023,11,Something In The Orange,Zach Bryan
1/29/2023,12,Just Wanna Rock,Lil Uzi Vert
1/29/2023,13,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
1/29/2023,14,Made You Look,Meghan Trainor
1/29/2023,15,Cuff It,Beyonce
1/29/2023,16,Under The Influence,Chris Brown
1/29/2023,17,Bad Habit,Steve Lacy
1/29/2023,18,Thank God,Kane Brown With Katelyn Brown
1/29/2023,19,Rock And A Hard Place,Bailey Zimmerman
1/29/2023,20,You Proof,Morgan Wallen
1/29/2023,21,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
1/29/2023,22,Escapism,RAYE Featuring 070 Shake
1/29/2023,23,Wait In The Truck,HARDY Featuring Lainey Wilson
1/29/2023,24,I Like You (A Happier Song),Post Malone Featuring Doja Cat
1/29/2023,25,"Going, Going, Gone",Luke Combs
1/29/2023,26,Shirt,SZA
1/29/2023,27,Thought You Should Know,Morgan Wallen
1/29/2023,28,Calm Down,Rema & Selena Gomez
1/29/2023,29,Until I Found You,Stephen Sanchez
1/29/2023,30,Lavender Haze,Taylor Swift
1/29/2023,31,Snooze,SZA
1/29/2023,32,Bebe Dame,Fuerza Regida X Grupo Frontera
1/29/2023,33,Heart Like A Truck,Lainey Wilson
1/29/2023,34,Wait For U,Future Featuring Drake & Tems
1/29/2023,35,The Kind Of Love We Make,Luke Combs
1/29/2023,36,Super Freaky Girl,Nicki Minaj
1/29/2023,37,Tomorrow 2,GloRilla & Cardi B
1/29/2023,38,Nobody Gets Me,SZA
1/29/2023,39,Sure Thing,Miguel
1/29/2023,40,What My World Spins Around,Jordan Davis
1/29/2023,41,She Had Me At Heads Carolina,Cole Swindell
1/29/2023,42,Sunroof,Nicky Youre & dazy
1/29/2023,43,Unstoppable,Sia
1/29/2023,44,Lift Me Up,Rihanna
1/29/2023,45,I Ain't Worried,OneRepublic
1/29/2023,46,Whiskey On You,Nate Smith
1/29/2023,47,Low,SZA
1/29/2023,48,About Damn Time,Lizzo
1/29/2023,49,Players,Coi Leray
1/29/2023,50,Vegas,Doja Cat
1/29/2023,51,Que Vuelvas,Carin Leon X Grupo Frontera
1/29/2023,52,Knight Crawler,Trippie Redd & Juice WRLD
1/29/2023,53,Tennessee Orange,Megan Moroney
1/29/2023,54,Bloody Mary,Lady Gaga
1/29/2023,55,What He Didn't Do,Carly Pearce
1/29/2023,56,Nonsense,Sabrina Carpenter
1/29/2023,57,Blind,SZA
1/29/2023,58,Forget Me,Lewis Capaldi
1/29/2023,59,Handle On You,Parker McCollum
1/29/2023,60,Here With Me,d4vd
1/29/2023,61,Wild As Her,Corey Kent
1/29/2023,62,Freestyle,Lil Baby
1/29/2023,63,The Color Violet,Tory Lanez
1/29/2023,64,Red,HARDY Featuring Morgan Wallen
1/29/2023,65,No Se Va,Grupo Frontera
1/29/2023,66,Spin Bout U,Drake & 21 Savage
1/29/2023,67,Love Language,SZA
1/29/2023,68,Snap,Rosa Linn
1/29/2023,69,La Bachata,Manuel Turizo
1/29/2023,70,Love You Better,Future
1/29/2023,71,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
1/29/2023,72,10:35,Tiesto Featuring Tate McRae
1/29/2023,73,One Thing At A Time,Morgan Wallen
1/29/2023,74,Half Of Me,Thomas Rhett Featuring Riley Green
1/29/2023,75,La Jumpa,Arcangel & Bad Bunny
1/29/2023,76,Shut Up My Moms Calling,Hotel Ugly
1/29/2023,77,You Didn't,Brett Young
1/29/2023,78,Circo Loco,Drake & 21 Savage
1/29/2023,79,OMG,NewJeans
1/29/2023,80,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
1/29/2023,81,I Wish You Roses,Kali Uchis
1/29/2023,82,Gangsta Boo,Ice Spice & Lil Tjay
1/29/2023,83,Heart To Heart,Mac DeMarco
1/29/2023,84,Moonlight Sunrise,TWICE
1/29/2023,85,Gato de Noche,Nengo Flow & Bad Bunny
1/29/2023,86,Fully Loaded,"Trippie Redd, Future & Lil Baby"
1/29/2023,87,Seek & Destroy,SZA
1/29/2023,88,That's What Tequila Does,Jason Aldean
1/29/2023,89,Ditto,NewJeans
1/29/2023,90,Krzy Train,Trippie Redd & Travis Scott
1/29/2023,91,Next Thing You Know,Jordan Davis
1/29/2023,92,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
1/29/2023,93,Ghost In The Machine,SZA Featuring Phoebe Bridgers
1/29/2023,94,California Breeze,Lil Baby
1/29/2023,95,Human,Cody Johnson
1/29/2023,96,Do It Again,NLE Choppa & 2Rare
1/29/2023,97,Miss You,Oliver Tree & Robin Schulz
1/29/2023,98,Back End,Finesse2Tymes
1/29/2023,99,Open Arms,SZA Featuring Travis Scott
1/29/2023,100,Spit In My Face!,ThxSoMch
2/5/2023,1,Flowers,Miley Cyrus
2/5/2023,2,Kill Bill,SZA
2/5/2023,3,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2/5/2023,4,Anti-Hero,Taylor Swift
2/5/2023,5,Unholy,Sam Smith & Kim Petras
2/5/2023,6,Die For You,The Weeknd & Ariana Grande
2/5/2023,7,I'm Good (Blue),David Guetta & Bebe Rexha
2/5/2023,8,Rich Flex,Drake & 21 Savage
2/5/2023,9,As It Was,Harry Styles
2/5/2023,10,Just Wanna Rock,Lil Uzi Vert
2/5/2023,11,Made You Look,Meghan Trainor
2/5/2023,12,Golden Hour,JVKE
2/5/2023,13,Under The Influence,Chris Brown
2/5/2023,14,Something In The Orange,Zach Bryan
2/5/2023,15,Cuff It,Beyonce
2/5/2023,16,Rock And A Hard Place,Bailey Zimmerman
2/5/2023,17,Thank God,Kane Brown With Katelyn Brown
2/5/2023,18,You Proof,Morgan Wallen
